p,n_steps,max_cc_pos,second_max_cc_pos,final_pos
0.0,0.0,0.0,0.0,0.0
0.01,1.5799999999999994,0.0,0.0,0.0
0.02,2.049999999999999,0.0,0.0,0.0
0.03,2.207999999999999,0.0,0.0,0.0
0.04,2.4619999999999975,0.0,0.0,0.0
0.05,2.7939999999999983,0.0,0.0,0.009699999999999997
0.06,3.028,0.0,0.0,0.009999999999999995
0.07,3.2669999999999995,0.0,0.0,0.009999999999999995
0.08,3.4549999999999983,0.0,0.0,0.009999999999999995
0.09,3.657999999999998,0.0,0.0,0.009999999999999995
0.1,3.938999999999998,0.0,0.0,0.009999999999999995
0.11,4.234,0.0,0.0,0.010199999999999996
0.12,4.43,0.0,0.0,0.01989999999999999
0.13,4.673000000000003,0.0,0.0,0.01999999999999999
0.14,4.884999999999997,0.0,0.0,0.01999999999999999
0.15,5.173,0.0,0.0,0.01999999999999999
0.16,5.385999999999998,0.0,0.0,0.025300000000000013
0.17,5.684000000000002,0.0,0.0,0.030000000000000075
0.18,5.980999999999998,0.0,0.0,0.030000000000000075
0.19,6.176,0.0,0.0,0.030100000000000075
0.2,6.505000000000002,0.0,0.0,0.03999999999999998
0.21,6.848000000000001,0.0,0.0,0.03999999999999998
0.22,7.155,0.0,0.0,0.04439999999999998
0.23,7.48,0.0,0.0,0.05000000000000004
0.24,7.696999999999998,0.0,0.0,0.05240000000000005
0.25,8.115000000000006,0.0,0.0,0.06000000000000015
0.26,8.432000000000004,0.0,0.0,0.06790000000000003
0.27,8.747000000000003,0.0006000000000000001,0.0,0.07030000000000002
0.28,9.053000000000003,0.006400000000000004,0.0,0.07999999999999996
0.29,9.233000000000004,0.009999999999999995,0.0001,0.0899999999999999
0.3,9.577000000000002,0.012199999999999992,0.003399999999999998,0.09970000000000007
0.31,9.808000000000005,0.023900000000000005,0.006100000000000003,0.11000000000000008
0.32,9.883999999999999,0.03830000000000002,0.0049,0.1200000000000003
0.33,9.978000000000003,0.0573000000000001,0.0005,0.13129999999999983
0.34,10.049999999999999,0.07779999999999998,0.0,0.14930000000000013
0.35000000000000003,9.870000000000001,0.09820000000000005,0.0,0.1611
0.36,9.649999999999999,0.11960000000000025,0.0,0.1798999999999998
0.37,9.349000000000002,0.14090000000000003,0.0,0.1986000000000002
0.38,9.037,0.16350000000000003,0.0,0.21810000000000007
0.39,8.701,0.18810000000000024,0.0,0.23820000000000044
0.4,28.138,0.21099999999999985,0.0,0.25889999999999974
0.41000000000000003,7.7680000000000025,0.2354000000000002,0.0,0.27999999999999997
0.42,7.325,0.2604999999999997,0.0,0.3013000000000001
0.43,16.930000000000007,0.28600000000000037,0.0,0.3253000000000003
0.44,26.500000000000004,0.31119999999999964,0.0,0.35010000000000024
0.45,26.215999999999998,0.3387000000000008,0.0,0.372
0.46,25.892999999999994,0.36399999999999955,0.0,0.3991000000000003
0.47000000000000003,65.72099999999999,0.3902000000000001,0.0,0.42159999999999975
0.48,45.643999999999984,0.41849999999999954,0.0,0.4493000000000004
0.49,105.52800000000009,0.4444000000000004,0.0,0.4734
0.5,75.568,0.4708999999999995,0.0,0.5001000000000003
0.51,55.55499999999998,0.49940000000000034,0.0,0.5268000000000006
0.52,25.61199999999999,0.5253000000000003,0.0,0.5500999999999999
0.53,65.75100000000006,0.5507000000000001,0.0,0.5788000000000011
0.54,45.93100000000002,0.579000000000001,0.0,0.6011000000000003
0.55,36.157,0.6025000000000001,0.0,0.6270999999999987
0.56,46.55400000000002,0.6296999999999984,0.0,0.6500999999999992
0.5700000000000001,36.844000000000015,0.6510999999999992,0.0,0.6731000000000007
0.58,27.320000000000025,0.6778000000000008,0.0,0.6995000000000005
0.59,7.800999999999999,0.7002000000000005,0.0,0.7200999999999992
0.6,8.235000000000007,0.7210999999999991,0.0,0.7408999999999992
0.61,8.618000000000004,0.7432999999999991,0.0,0.7616000000000015
0.62,9.020000000000001,0.7651000000000013,0.0,0.7828000000000004
0.63,9.418000000000001,0.7836000000000004,0.0,0.8009000000000005
0.64,9.629000000000007,0.8012000000000005,0.0,0.8199999999999987
0.65,9.886,0.8201999999999987,0.0,0.8381999999999987
0.66,9.966,0.8360999999999988,0.0,0.8514999999999989
0.67,9.929000000000002,0.8499999999999984,0.0,0.8690000000000012
0.68,9.938000000000004,0.8612000000000019,0.0,0.8800000000000007
0.6900000000000001,9.733,0.8752000000000009,0.0,0.8900000000000012
0.7000000000000001,9.642000000000005,0.8867000000000012,0.0,0.9002000000000007
0.71,9.327000000000002,0.895100000000001,0.0,0.9099999999999998
0.72,8.973,0.9018000000000006,0.0,0.9199999999999988
0.73,8.803000000000003,0.9099999999999998,0.0,0.9297999999999983
0.74,8.591000000000006,0.9199999999999988,0.0,0.9322999999999984
0.75,8.149000000000001,0.9219999999999987,0.0,0.9399999999999987
0.76,7.8279999999999985,0.9299999999999983,0.0,0.9478999999999982
0.77,7.469,0.9322999999999982,0.0,0.9499999999999981
0.78,7.141000000000004,0.9399999999999987,0.0,0.9568000000000013
0.79,6.819,0.9399999999999987,0.0,0.9600000000000024
0.8,6.549000000000005,0.9498999999999981,0.0,0.9600000000000024
0.81,6.229999999999998,0.9499999999999981,0.0,0.9700000000000015
0.8200000000000001,5.908999999999997,0.9499999999999981,0.0,0.9700000000000015
0.8300000000000001,5.678999999999999,0.9569000000000007,0.0,0.9700000000000015
0.84,5.4300000000000015,0.9600000000000024,0.0,0.9762000000000013
0.85,5.138,0.9600000000000024,0.0,0.9800000000000009
0.86,4.896,0.9600000000000024,0.0,0.9800000000000009
