p,n_steps,max_cc_pos,second_max_cc_pos,final_pos
0.0,0.0,0.0,0.0,0.0
0.01,1.6,0.0,0.0,0.0
0.02,2.1,0.0,0.0,0.0
0.03,2.2,0.0,0.0,0.0
0.04,2.4,0.0,0.0,0.0
0.05,2.6,0.0,0.0,0.0
0.06,2.9,0.0,0.0,0.0
0.07,3.0,0.0,0.0,0.0
0.08,3.1,0.0,0.0,0.0
0.09,3.2,0.0,0.0,0.0
0.1,3.4,0.0,0.0,0.0
0.11,4.0,0.0,0.0,0.0
0.12,3.9,0.0,0.0,0.0
0.13,4.0,0.0,0.0,0.0
0.14,4.6,0.0,0.0,0.0
0.15,4.4,0.0,0.0,0.0
0.16,4.3,0.0,0.0,0.0
0.17,4.5,0.0,0.0,0.0
0.18,5.1,0.0,0.0,0.0
0.19,5.2,0.0,0.0,0.0
0.2,5.4,0.0,0.0,0.0
0.21,5.3,0.0,0.0,0.0
0.22,5.5,0.0,0.0,0.0
0.23,6.0,0.0,0.0,0.0
0.24,5.7,0.0,0.0,0.0
0.25,6.0,0.0,0.0,0.01
0.26,6.4,0.0,0.0,0.01
0.27,6.6,0.0,0.0,0.01
0.28,7.3,0.0,0.0,0.01
0.29,7.7,0.0,0.0,0.01
0.3,7.7,0.0,0.0,0.02
0.31,7.7,0.0,0.0,0.02
0.32,8.2,0.0,0.0,0.02
0.33,7.9,0.0,0.0,0.02
0.34,9.1,0.0,0.0,0.03
0.35000000000000003,10.1,0.0,0.0,0.04
0.36,9.6,0.01,0.0,0.04
0.37,9.9,0.01,0.0,0.05
0.38,10.2,0.01,0.0,0.05
0.39,11.1,0.02,0.01,0.07
0.4,12.2,0.04,0.0,0.08
0.41000000000000003,11.0,0.07,0.0,0.1
0.42,13.1,0.1,0.0,0.12
0.43,12.8,0.13,0.0,0.15
0.44,13.7,0.17,0.0,0.18
0.45,13.4,0.21,0.0,0.22
0.46,15.4,0.26,0.0,0.26
0.47000000000000003,10.9,0.35,0.0,0.35
0.48,8.6,0.4,0.0,0.4
0.49,8.4,0.46,0.0,0.46
0.5,7.5,0.51,0.0,0.51
0.51,8.1,0.54,0.0,0.54
0.52,7.9,0.59,0.0,0.59
0.53,12.0,0.67,0.0,0.67
0.54,14.8,0.74,0.0,0.74
0.55,12.8,0.78,0.0,0.78
0.56,15.5,0.82,0.0,0.82
0.5700000000000001,14.0,0.85,0.0,0.85
0.58,11.6,0.88,0.0,0.88
0.59,12.6,0.91,0.0,0.91
0.6,11.5,0.92,0.0,0.92
0.61,11.8,0.93,0.0,0.93
0.62,10.1,0.94,0.0,0.94
0.63,9.6,0.95,0.0,0.95
0.64,9.3,0.96,0.0,0.96
0.65,8.9,0.97,0.0,0.97
0.66,8.6,0.97,0.0,0.97
0.67,8.5,0.98,0.0,0.98
0.68,8.1,0.98,0.0,0.98
0.6900000000000001,7.5,0.98,0.0,0.98
0.7000000000000001,7.4,0.98,0.0,0.98
0.71,7.4,0.99,0.0,0.99
0.72,6.9,0.99,0.0,0.99
0.73,6.7,0.99,0.0,0.99
0.74,6.5,0.99,0.0,0.99
0.75,6.2,0.99,0.0,0.99
0.76,6.4,1.0,0.0,1.0
0.77,5.3,1.0,0.0,1.0
0.78,5.6,1.0,0.0,1.0
0.79,5.4,1.0,0.0,1.0
0.8,4.9,1.0,0.0,1.0
0.81,5.2,1.0,0.0,1.0
0.8200000000000001,4.7,1.0,0.0,1.0
0.8300000000000001,4.5,1.0,0.0,1.0
0.84,4.2,1.0,0.0,1.0
0.85,4.6,1.0,0.0,1.0
0.86,4.1,1.0,0.0,1.0
0.87,4.2,1.0,0.0,1.0
0.88,3.9,1.0,0.0,1.0
0.89,3.6,1.0,0.0,1.0
0.9,3.4,1.0,0.0,1.0
0.91,3.4,1.0,0.0,1.0
0.92,3.1,1.0,0.0,1.0
0.93,3.1,1.0,0.0,1.0
0.9400000000000001,3.1,1.0,0.0,1.0
0.9500000000000001,2.5,1.0,0.0,1.0
0.96,2.5,1.0,0.0,1.0
0.97,2.3,1.0,0.0,1.0
0.98,2.1,1.0,0.0,1.0
0.99,1.7,1.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0
