p,n_steps,max_cc_pos,max_cc_neg
0.2,3.08,0.0,1.0
0.21250000000000002,3.2,0.0,1.0
0.225,3.48,0.0,1.0
0.23750000000000002,3.57,0.0,1.0
0.25,3.72,0.0,1.0
0.2625,4.01,0.0,1.0
0.275,4.05,0.0,1.0
0.2875,4.13,0.0,1.0
0.3,4.27,0.0,1.0
0.3125,4.4,0.0,1.0
0.325,4.75,0.0,1.0
0.3375,4.99,0.0,1.0
0.35,5.16,0.0,1.0
0.3625,5.34,0.0,1.0
0.375,5.6,0.0,1.0
0.38749999999999996,6.03,0.0,1.0
0.4,6.26,0.0,1.0
0.4125,6.74,0.0,1.0
0.425,7.24,0.0,1.0
0.4375,7.83,0.0,1.0
0.44999999999999996,8.76,0.0,1.0
0.46249999999999997,9.95,0.0,1.0
0.475,12.35,0.01,0.99
0.4875,16.52,0.1,0.9
0.5,15.82,0.52,0.48
0.5125,16.7,0.91,0.09
0.5249999999999999,12.5,1.0,0.0
0.5375,10.0,1.0,0.0
0.55,8.74,1.0,0.0
0.5625,7.92,1.0,0.0
0.575,7.07,1.0,0.0
0.5874999999999999,6.72,1.0,0.0
0.6,6.37,1.0,0.0
0.6125,6.01,1.0,0.0
0.625,5.67,1.0,0.0
0.6375,5.38,1.0,0.0
0.6499999999999999,5.21,1.0,0.0
0.6625,4.99,1.0,0.0
0.675,4.79,1.0,0.0
0.6875,4.45,1.0,0.0
0.7,4.29,1.0,0.0
